Year/Month/Date,Hour,Discharge
03/02/2017,9,3.56
03/02/2017,10,3.56
03/02/2017,11,3.56
03/02/2017,12,3.56
03/02/2017,13,3.56
03/02/2017,14,3.56
03/02/2017,15,3.56
03/02/2017,16,3.56
03/02/2017,17,3.56
03/02/2017,18,3.56
03/02/2017,19,3.56
03/02/2017,20,3.56
03/02/2017,21,3.56
03/02/2017,22,3.56
03/02/2017,23,3.56
04/02/2017,0,3.56
04/02/2017,1,3.56
04/02/2017,2,3.56
04/02/2017,3,3.56
04/02/2017,4,3.56
04/02/2017,5,3.56
04/02/2017,6,3.56
04/02/2017,7,3.56
04/02/2017,8,3.56
04/02/2017,9,3.56
04/02/2017,10,3.31
04/02/2017,11,3.31
04/02/2017,12,3.56
04/02/2017,13,3.56
04/02/2017,14,3.31
04/02/2017,15,3.31
04/02/2017,16,3.56
04/02/2017,17,3.56
04/02/2017,18,3.56
04/02/2017,19,3.56
04/02/2017,20,3.56
04/02/2017,21,3.56
04/02/2017,22,3.56
04/02/2017,23,3.56
05/02/2017,0,3.56
05/02/2017,1,3.31
05/02/2017,2,3.56
05/02/2017,3,3.31
05/02/2017,4,3.56
05/02/2017,5,3.56
05/02/2017,6,3.31
05/02/2017,7,3.31
05/02/2017,8,3.56
05/02/2017,9,3.56
05/02/2017,10,3.56
05/02/2017,11,3.56
05/02/2017,12,3.56
05/02/2017,13,3.56
05/02/2017,14,3.56
05/02/2017,15,3.56
05/02/2017,16,3.56
05/02/2017,17,3.56
05/02/2017,18,3.56
05/02/2017,19,3.56
05/02/2017,20,3.56
05/02/2017,21,3.56
05/02/2017,22,3.56
05/02/2017,23,3.56
06/02/2017,0,3.56
06/02/2017,1,3.56
06/02/2017,2,3.56
06/02/2017,3,3.56
06/02/2017,4,3.56
06/02/2017,5,3.56
06/02/2017,6,3.56
06/02/2017,7,3.56
06/02/2017,8,3.56
06/02/2017,9,3.56
06/02/2017,10,3.56
06/02/2017,11,3.56
06/02/2017,12,3.56
06/02/2017,13,3.56
06/02/2017,14,3.56
06/02/2017,15,3.56
06/02/2017,16,3.56
06/02/2017,17,3.56
06/02/2017,18,3.31
06/02/2017,19,3.56
06/02/2017,20,3.56
06/02/2017,21,3.56
06/02/2017,22,3.56
06/02/2017,23,3.31
07/02/2017,0,3.31
07/02/2017,1,3.31
07/02/2017,2,3.56
07/02/2017,3,3.31
07/02/2017,4,3.31
07/02/2017,5,3.31
07/02/2017,6,3.31
07/02/2017,7,3.56
07/02/2017,8,3.56
07/02/2017,9,3.31
07/02/2017,10,3.56
07/02/2017,11,3.31
07/02/2017,12,3.31
07/02/2017,13,3.31
07/02/2017,14,3.31
07/02/2017,15,3.56
07/02/2017,16,3.31
07/02/2017,17,3.56
07/02/2017,18,3.31
07/02/2017,19,3.31
07/02/2017,20,3.31
07/02/2017,21,3.31
07/02/2017,22,3.31
07/02/2017,23,3.31
08/02/2017,0,3.31
08/02/2017,1,3.31
08/02/2017,2,3.31
08/02/2017,3,3.31
08/02/2017,4,3.31
08/02/2017,5,3.31
08/02/2017,6,3.31
08/02/2017,7,3.31
08/02/2017,8,3.31
08/02/2017,9,3.31
08/02/2017,10,3.31
08/02/2017,11,3.31
08/02/2017,12,3.31
08/02/2017,13,3.31
08/02/2017,14,3.31
08/02/2017,15,3.31
08/02/2017,16,3.31
08/02/2017,17,3.31
08/02/2017,18,3.31
08/02/2017,19,3.31
08/02/2017,20,3.31
08/02/2017,21,3.31
08/02/2017,22,3.31
08/02/2017,23,3.31
09/02/2017,0,3.31
09/02/2017,1,3.31
09/02/2017,2,3.31
09/02/2017,3,3.31
09/02/2017,4,3.31
09/02/2017,5,3.31
09/02/2017,6,3.31
09/02/2017,7,3.31
09/02/2017,8,3.31
09/02/2017,9,3.31
09/02/2017,10,3.31
09/02/2017,11,3.31
09/02/2017,12,3.31
09/02/2017,13,3.31
09/02/2017,14,3.31
09/02/2017,15,3.31
09/02/2017,16,3.31
09/02/2017,17,3.31
09/02/2017,18,3.31
09/02/2017,19,3.31
09/02/2017,20,3.31
09/02/2017,21,3.31
09/02/2017,22,3.31
09/02/2017,23,3.31
10/02/2017,0,3.31
10/02/2017,1,3.31
10/02/2017,2,3.31
10/02/2017,3,3.31
10/02/2017,4,3.31
10/02/2017,5,3.31
10/02/2017,6,3.31
10/02/2017,7,3.31
10/02/2017,8,3.31
10/02/2017,9,3.31
10/02/2017,10,3.31
10/02/2017,11,3.31
10/02/2017,12,3.31
10/02/2017,13,3.31
10/02/2017,14,3.31
10/02/2017,15,3.31
10/02/2017,16,3.31
10/02/2017,17,3.31
10/02/2017,18,3.31
10/02/2017,19,3.31
10/02/2017,20,3.31
10/02/2017,21,3.31
10/02/2017,22,3.31
10/02/2017,23,3.31
11/02/2017,0,3.31
11/02/2017,1,3.31
11/02/2017,2,3.31
11/02/2017,3,3.31
11/02/2017,4,3.31
11/02/2017,5,3.31
11/02/2017,6,3.31
11/02/2017,7,3.31
11/02/2017,8,3.31
11/02/2017,9,3.31
11/02/2017,10,3.31
11/02/2017,11,3.31
11/02/2017,12,3.31
11/02/2017,13,3.31
11/02/2017,14,3.31
11/02/2017,15,3.31
11/02/2017,16,3.31
11/02/2017,17,3.31
11/02/2017,18,3.31
11/02/2017,19,3.31
11/02/2017,20,3.31
11/02/2017,21,3.31
11/02/2017,22,3.31
11/02/2017,23,3.31
12/02/2017,0,3.31
12/02/2017,1,3.31
12/02/2017,2,3.31
12/02/2017,3,3.31
12/02/2017,4,3.31
12/02/2017,5,3.31
12/02/2017,6,3.31
12/02/2017,7,3.31
12/02/2017,8,3.31
12/02/2017,9,3.31
12/02/2017,10,3.31
12/02/2017,11,3.31
12/02/2017,12,3.31
12/02/2017,13,3.31
12/02/2017,14,3.31
12/02/2017,15,3.31
12/02/2017,16,3.31
12/02/2017,17,3.31
12/02/2017,18,3.31
12/02/2017,19,3.31
12/02/2017,20,3.31
12/02/2017,21,3.31
12/02/2017,22,3.31
12/02/2017,23,3.31
13/02/2017,0,3.31
13/02/2017,1,3.31
13/02/2017,2,3.31
13/02/2017,3,3.31
13/02/2017,4,3.31
13/02/2017,5,3.31
13/02/2017,6,3.31
13/02/2017,7,3.31
13/02/2017,8,3.31
13/02/2017,9,3.31
13/02/2017,10,3.31
13/02/2017,11,3.31
13/02/2017,12,3.31
13/02/2017,13,3.31
13/02/2017,14,3.31
13/02/2017,15,3.31
13/02/2017,16,3.31
13/02/2017,17,3.31
13/02/2017,18,3.31
13/02/2017,19,3.31
13/02/2017,20,3.31
13/02/2017,21,3.31
13/02/2017,22,3.31
13/02/2017,23,3.31
14/02/2017,0,3.31
14/02/2017,1,3.31
14/02/2017,2,3.31
14/02/2017,3,3.31
14/02/2017,4,3.31
14/02/2017,5,3.31
14/02/2017,6,3.31
14/02/2017,7,3.31
14/02/2017,8,3.31
14/02/2017,9,3.31
14/02/2017,10,3.31
14/02/2017,11,3.31
